Object type,MENA-EDS,OPEN-PROM,Explanation,Old sets,New sets,Sector
Parameter,ACEN,iRateEneBranCons,Rate of Energy Branch Consumption over total transformation output (1),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,ACTV,iActv,Various sector activity (1),"CYAll,SBS,YTIME","YTIME,allCy,SBS",Macro economic indicators
Variable,ACTVTRG,VActivGoodsTransp,Goods transport acitivity (Gtkm),"CYall,TRANSE,YTIME","allCy,TRANSE,YTIME",TRANSPORT SECTOR VARIABLES
Variable,ACTVTRP,VActivPassTrnsp,Passenger transport acitivity (1),"CYall,TRANSE,YTIME","allCy,TRANSE,YTIME",TRANSPORT SECTOR VARIABLES
Parameter,AELCIMP,iRatioImpFinElecDem,Ratio of imports in final electricity demand (1),"CYall,YTIME","allCy,YTIME",Supply Side Specific Parameters
Variable,AFFORDABILITY,vExpendHouseEne,Households expenditures on energy (billions),"CYALL,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,ALOS,iRateLossesFinCons,Rate of losses over Available for Final Consumption,"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Variable,ALPHA,VScalFacPlaDisp,Scaling factor for plant dispatching,"CYall,HOUR,YTIME","allCy,HOUR,YTIME",POWER GENERATION SECTOR
Parameter,AMAXBASE,iBslCorrection,Parameter of baseload correction,"CYaLL,YTIME","allCy,YTIME",Power Generation Parameters
Parameter,APPROD,iRatePriProTotPriNeeds,Rate of Primary Production in Total Primary Needs (1),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,APRICE,-,"Alpha' Parameter, linking International Prices with Consumer Prices","CYall,SBS,EF,YTIME",,Macro economic and demographic
Parameter,APricePRN,,Parameters linking world prices to domestic prices in equations (after 2005),"SBS,EF,YTIME",,Parameters for data transfering
Variable,AVCHPCOST,VCostElcAvgProdCHP,Average Electricity production cost per CHP plant (Euro/KWh),"CYall,CHP,YTIME","allCy,CHP,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,AVCHPVCOST,VCostVarAvgElecProd,"""Average variable including fuel electricity production cost per CHP plant (Euro/KWh)","CYall,CHP,YTIME","allCy,CHP,YTIME",
Variable,AVERAV,VCapAvgFacRes,"The average capacity factor of RES, availability of RES increases over the years, but not all their capacity can produce electricity at such high availabilities","CYALL,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,BASEEST,VLoadBaseEstSec,Estimated base load (GW),"CYall,YTIME","allCy,YTIME",
Variable,BASELOAD,VLoadBaseElecExp,Corrected base load (GW),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,BOILEFF,iBoiEffChp,Boiler efficiency (typical) used in adjusting CHP efficiency (),"CYall,CHP,YTIME","allCy,CHP,YTIME",Power Generation Parameters
Variable,CAPACITY,VCapGenPlannedPlant,Electricity generation plants capacity (GW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,CAPACITY2,VCapGenNewResPlant,The new capacity added every year (MW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,capall,VCapOverall,Overall Capacity (MW),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Parameter,CAPCOST,iCapCostTech,"""Capital Cost of technology (various)""
                                                 !! - For transport is expressed in kEuro05 per vehicle
                                                 !! - For Industrial sectors (except Iron and Steel) is expressed in kEuro05/toe-year
                                                 !! - For Iron and Steel is expressed in kEuro05/tn-of-steel
                                                 !! - For Domestic Sectors is expressed in kEuro05/toe-year","CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",
