dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RWO,PCH,CRO,363.193236933794,342.038906984366,356.712993521273,362.854457773402,382.026445559945,386.752104603953,397.313397640138,410.126119783834,399.038279582407,401.291823272138,386.467986488433,393.070599463881
CHA,PCH,CRO,46.3647,54.3352,49.2386,53.9274,59.9539,65.3571,70.7438,70.3818,71.4822,76.5089,85.0063,86.5211
EGY,PCH,CRO,0.5446,0.7041,1.2423,0.0054,0.137,0,0.0021,0,0,0,0,0
IND,PCH,CRO,13.6463,14.6375,15.6474,14.1668,13.8964,16.639,16.6782,16.5816,18.2103,18.1007,18.7144,20.0545
MAR,PCH,CRO,0,0,0,0,0,0,0,0,0,0,0,0
USA,PCH,CRO,82.9899,71.2803,80.3648,74.2091,84.2751,75.9703,74.203,82.4135,90.0249,96.9728,96.47,104.8955
RWO,PCH,LPG,103.679430602007,110.123787681159,120.048075585284,124.097110089186,140.822919843924,129.930393311037,128.745451895206,128.837263600892,129.129755797102,136.307871627648,149.151616499443,149.145616499443
CHA,PCH,LPG,2.0676,2.1564,2.2476,2.6148,3.5256,2.808,3.4104,4.2788,5.763,6.0467,10.4011,10.4011
EGY,PCH,LPG,2.48138333333333,2.61018333333333,3.11176666666667,2.89845,3.46156666666667,3.01913333333333,2.85531666666667,2.85818333333333,2.67715,2.71908333333333,2.89146666666667,2.89146666666667
IND,PCH,LPG,0.589868537373683,0.56198207398317,0.615636326284748,0.638893589069299,0.718221585392167,0.667392177329449,0.655896311405401,0.660000525272413,0.667394983052828,0.716073138283526,0.779147378357967,0.77912318480958
MAR,PCH,LPG,2.48138333333333,2.61018333333333,3.11176666666667,2.89845,3.46156666666667,3.01913333333333,2.85531666666667,2.85818333333333,2.67715,2.71908333333333,2.89146666666667,2.89146666666667
USA,PCH,LPG,35.5776,21.871,24.1586,25.9368,26.8473,26.7366,24.7958,24.8477,25.2669,29.7934,27.8929,27.8929
RWO,PCH,GDO,5.394632,4.545876,4.147832,3.632664,3.230544,3.176168,3.532796,3.007084,3.193612,2.349528,2.734284,2.734284
CHA,PCH,GDO,0.2519,0.2234,0.2193,0.2448,0.2805,0.2805,0.3509,0.1645,0.3069,0.1775,0.2117,0.2117
EGY,PCH,GDO,0,0,0,0,0,0,0,0,0,0,0,0
IND,PCH,GDO,0.0227682741935484,0.0524228870967742,0.0827787580645161,0.0350167903225806,0.0747808225806452,0.0323926129032258,0.0342419193548387,0.0316051774193548,0.0318391612903226,0.0261331774193548,0.0154273548387097,0.0154273548387097
MAR,PCH,GDO,0,0,0,0,0,0,0,0,0,0,0,0
USA,PCH,GDO,0,8.2316,16.162,4.8067,15.0346,4.5767,4.6083,4.6665,4.3956,3.954,0.88,0.88
RWO,PCH,NGS,214.357619078341,233.737132457757,240.987407956989,237.317012296467,239.430818717358,238.24924858679,244.678169254992,259.199247949309,272.571450284178,280.393465445468,275.198458064516,300.14943718894
CHA,PCH,NGS,7.1568,9.0997,11.354,11.1468,12.081,9.9781,10.2937,8.712,8.1504,8.6987,8.985,10.3679
EGY,PCH,NGS,4.3874,4.4983,4.207,4.1432,2.9937,3.523,4.4649,4.9732,5.234,5.3169,5.4033,5.7669
IND,PCH,NGS,13.6529,15.8431,18.0336,18.9581,18.8251,20.4121,20.3027,19.5657,19.2011,20.3997,21.4391,22.7221
MAR,PCH,NGS,1.55707857142857,1.93920714285714,1.92775714285714,1.89018571428571,1.93817142857143,2.03772142857143,2.17011428571429,2.29578571428571,2.45028571428571,2.43160714285714,2.41736428571429,2.45427857142857
USA,PCH,NGS,11.7981,12.2955,13.6408,13.9541,14.6446,15.2906,18.6049,23.9476,23.52,23.7915,9.5735,10.4134
RWO,BU,CRO,100.824318181818,101.264434848485,96.9182560606061,99.2887151515151,98.6601363636364,94.4117212121212,92.2925242424242,96.0773451515151,97.4913992424243,93.5167031818182,82.4503596969697,84.9166040909091
CHA,BU,CRO,8.259,8.723,8.59,7.462,6.939,8.782,9.251,9.6631,11.2042,10.5819,11.5698,14.2624
EGY,BU,CRO,0.325,0.296,0.29,0.196,0.113,0.139,0.021,0.027,0.0187,0.0128,0.0109,0.0117
IND,BU,CRO,1.323,1.3,1.267,1.289,1.349,1.405,1.505,1.5767,1.6225,1.636,1.4784,1.6553
MAR,BU,CRO,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.1143,0.1143,0.1143,0.1143,0.1143
USA,BU,CRO,21.184,19.927,17.329,15.762,12.475,9.956,14.173,15.6341,13.5799,13.0091,10.531,13.531
RWO,BU,GDO,19.7321425757576,18.3327260606061,16.6195125757576,16.3588278787879,24.7911442424242,32.332926969697,31.0802551515151,29.8655872727273,32.2194042424242,31.2684498484849,26.6550615151515,27.3467731818182
CHA,BU,GDO,0.364,0.383,0.292,0.247,0.211,0.437,0.412,0.5036,0.3747,0.7625,0.5358,0.6613
EGY,BU,GDO,0.114,0.091,0.065,0.052,0.05,0.042,0.031,0.062,0.0576,0.0576,0.0583,0.0656
IND,BU,GDO,0.049,0.026,0.025,0.028,0.032,0.035,0.04,0.0301,0.0374,0.055,0.0531,0.0561
MAR,BU,GDO,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.0235,0.0235,0.0235
USA,BU,GDO,5.573,5.779,1.179,1.963,4.892,7.146,6.032,8.032,6.9661,10.024,5.0566,7.0566
RWO,NEN,CRO,394.7343,375.3372,391.0341,388.5,400.3806,400.0251,406.2003,418.0189,412.6831,417.3141,397.8943,402.4753
CHA,NEN,CRO,75.4161,85.0218,81.2247,88.072,97.8246,105.1965,113.208,119.0679,122.366,130.872,142.0559,144.5874
EGY,NEN,CRO,2.2052,2.1747,2.748,1.4768,1.6546,1.5266,1.5003,1.551,1.6007,1.7183,1.6441,1.6894
IND,NEN,CRO,23.3007,24.8209,26.7797,25.9976,25.7316,29.8532,29.945,31.5212,35.6964,35.5329,38.0508,40.7757
MAR,NEN,CRO,0.5308,0.5551,0.3979,0.4593,0.4163,0.5355,0.5087,0.4933,0.4482,0.5419,0.5239,0.5977
USA,NEN,CRO,123.5582,117.3078,123.568,116.3407,126.1523,119.0383,117.755,121.2679,125.1894,134.1255,133.044,144.6639
RWO,NEN,LPG,40.5425730303031,42.3512675757576,45.3063592424243,47.9891413636364,53.0343406060606,50.1841483333334,49.5592156060606,49.5886153030303,48.311736969697,52.2832284848485,51.3032478787879,49.3514310606061
CHA,NEN,LPG,2.0676,2.1564,2.2476,2.6148,3.5256,2.808,3.4104,4.2788,5.763,6.0467,10.4011,11.6013
EGY,NEN,LPG,0,0,0,0,0,0,0,0,0,0,0,0
IND,NEN,LPG,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NEN,LPG,0,0,0,0,0,0,0,0,0,0,0,0
USA,NEN,LPG,35.5776,21.871,24.1586,25.9368,26.8473,26.7366,24.7958,24.8477,25.2669,29.7934,27.8929,29.7209
RWO,NEN,NGS,103.1289,111.4094,110.7003,109.9941,110.0316,112.257,115.4762,125.022,132.8044,135.3681,130.5993,139.9317
CHA,NEN,NGS,7.1568,9.0997,11.354,11.1468,12.081,9.9781,10.2937,8.712,8.1504,8.6987,8.985,10.3679
EGY,NEN,NGS,4.3874,4.4983,4.207,4.1432,2.9937,3.523,4.4649,4.9732,5.234,5.3169,5.4033,5.7669
IND,NEN,NGS,13.6529,15.8431,18.0336,18.9581,18.8251,20.4121,20.3027,19.5657,19.2011,20.3997,21.4391,22.7221
MAR,NEN,NGS,0,0,0,0,0,0,0,0,0,0,0,0
USA,NEN,NGS,11.7981,12.2955,13.6408,13.9541,14.6446,15.2906,18.6049,23.9476,23.52,23.7915,9.5735,10.4134
